heading,content
$16.65 Books tore Price,
BUCKNELL UNIVERSITY,
BOOKSTORE,
"Open Weekdays 8:30-5:00,",
Saturdays 10:00-2:00,
"Friday, September 12,1980",
_,
_________,
NEWS,
___________________________,_
Vice president hired after year-long delay,"By JAN BALAK1AN John A. Ferguson, executive director of the Institute for Policy Analysis in Indianapolis, Ind. since 1977, took office June 1 as vice president for University relations. University President Dennis O'Brien attributed the one-year search for the vice president to the difficulty of the position. "" We wanted someone who would do well in the developmental world while having academic sensibili ty,"" O'Brien said. The absence of a vice president for university relations last year has had no adverse effects on fund raising efforts, according to O'Brien. "" Last year was one of our best years financially,"" he said. The University is relying on Ferguson's leadership to meet a 1987 multi-million dollar fund drive, the president said. Ferguson, 36, meets the re quirement of being connected with the foundation world and the academic world. His work with the Institute for Policy Anaylsis has included research and policy analysis, and evaluation and planning for corporate, public and private grant making agen cies and foundations. He previously served as a staff associate with the Carnegie Com mission on Higher Education. From 1967-71, he held a variety of positions at Wayne State Univer sity in Detroit. Ferguson has also served as a consultant to colleges and univer sities, professional associations, corporations, civic organizations and foundations. An alumnus of Brown Universi ty, Ferguson received a master's degree from Wayne State and a doctorate in higher education,. economics and history from the University of Michigan. Fer guson's position will deal with all areas of development. In an in terview with the Bucknellian this week, he explained the three aspects of development: deferred giving, gifts from corporations and foundations and the annual fund, which provides "" the last ounce of flexibility in the Univer sity's budget,"" according to Ferguson. In addition, he will deal with alumni affairs, publications and public relations. Ferguson said he is responsible for presenting the image of Bucknell to the out side world. Ferguson is reluctant to unveil his views on higher education or any transformations he would like to see here because, he said, he is "" still meeting people and still learning."" The only goals he spoke of were those of increasing the Universi ty's annual giving to $1.25 million and augmenting participation of the alumni in fund raising. Ferguson said he has always been interested in the admini strative aspect of education. "" Since World War II, when state institutions acquired a larger population, there has been a bat tle to promote excellence in private institutions. "" We need a healthy private sector,""  he said. As he looks into the case of the 1980's, Ferguson wants to spend time with all aspects of the con stituency of the University and find out what they want. "" I want to establish priorities from both the capital point of view and an educational point of view,""  he said."
Page 3,
JOHN A. FERGUSON,Photo--Carl Jensen
Workmen have rapidly completed the foundation and steel,
"framing of the new Computer Center. The complex,",
"located adjacent to the Dana Engineering building, is",
scheduled to open to students in February. This is the first,
major construction project the University has undertaken,
since the completion of the field house in 1978.,
Computer center finish,
slated for mid-February,"ByGREGHAHN Construction of the new computer and engineering center con tinues on schedule. The complex, located adjacent to the Dana Engineering building, is scheduled to open Feb. 15. The new building fulfills a variety of needs, according to John Zeller, vice president for administration and finance. The present computer is operating at full capacity and cannot meet the addi tional load required of it. It has remained in use longer than its normal life expectancy, creating a costly maintenance problem. The new computer, a Honeywell unit, must operate in conjunc tion with the present system for about one year. This would not be possible without the construction of a new center, Zeller said. Unlike the computer in use now, the Honeywell unit will be hous ed in a fire-proof building which will also provide additional space needed by the engineering department. Costs for the entire computer center project exceed $3 million. The computer system alone claims $1 million of the budget, with conversion and transition costs expected to reach $300,000. The new buildings and its furnishings are expected to cost $1.3 million. Included in the computer center project is the remodeling of the Dana Engineering building. Renovations are expected to cost close to $250,000. The most costly item is a $135,000 sprinkler system to be installed during the summer of 1982. Four engineering labs have also been earmarked to receive $200,000 worth of new equipment. Funding for the center has been provided by corporate donations. This covers about half of the total projected expenses to date. Ac cording to Zeller, there are no plans to solicit donations from alum ni or parents. The new Honeywell computer system will need to be replaced with another new computer in about ten years, Zeller said."
Teamsters hope for success,
where AFSCME has failed,"By MADELON HENEHAN The Teamsters and Chauffeurs Local Union No. 764 has begun a campaign to unionize non professional employees here. The Teamsters efforts' come after three years of unsuccessful attempts to organize the same group by the American Federation of State, County and Municipal Employees (AFSCME). Alfred Byrd, Secretary-Treasurer and Business Representative of the Teamsters local, has been working to organize the physical plant and dining service employees since June. It is uncertain whether AFSCME is still seeking to unionize the same target group, however. William Fogle, staff representative of AFSCME has not been available for comment. Employees have not received word from AFSCME recently. According to Byrd, the Teamsters is working in dependently to organize the non-professionals, and will not work in cooperation with AFSCME. Fogle has admitted to having spent "" quite a bit of money""  in his unsuccessful campaign and stated in August that he would "" proceed with caution"" if University employees again expressed an interest in union representation. Non-professionals voted 3-1 against joining AFSCME in April 1979. Employee requests for representation led the Teamsters to get involved, according to Byrd. The Teamsters expect to be successful where AFSCME has failed. The Teamsters has sent letters and authorization cards to employees. These cards, ask the employees to designate the Teamsters as their sole bargaining agent. If 30 percent of the employees return their pledge cards to the union, the Teamsters will be able to petition the National Labor Relations Board (NLRB) for an election. If a majority sign the cards, the union may ask the NLRB to be their collective bargaining agent. John BeD, director of the physical plant, is oppos ed to unionizing. "" Workers do not need to belong to a union,""  he said. "" We do more for our workers than the union which would bring a separation between employees and management. The workers are our friends and are treated as so. We don't want to consider them as anything different,""  Bell said."
Ward '17 dies;,
bequeaths gift,
to University,"A bequest to the University of between $200,000 and $400,000 is expected from the estate of Ethel V. Ward, a Bucknell alumna and local resident who died Aug. 29. According to sources in the ad ministration, Ward -- a 1917 graduate -- had included a substantial gift of this type in her will, which is still in probate. McClure & Light, the law firm handling the Ward case, said it is taking inventory of the estate now, and will not release until early next week the exact amount of the gift."
FIREWORKS EXPLODE OVER STADIUM -- The beginning of the,
fall semester was ushered in by a display of pyrotechnics high,
above Memorial Stadium Saturday night. The display was,
part of the festivities that included an all-campus picnic on,
"Swartz field, entertainment by two bands and a frisbee show,",
all sponsored by the University.,"A resident of Lewisburg since 1972, Ward sold her honse on St. George Street to the University, which uses it now as the campus' official guest house. She served as hostess of the house until shortly before her death."
NEWSFRONT,
WORLD,
China replaces old,
leaders with elderly,"Three new deputy prime ministers were appointed Wednesday by the Chinese Na tional People's Congress in Pek ing. The appointments were part of an effort to replace the aging leadership, but the three new leaders average 66 years of age. Several of the retiring Chinese leaders were in such frail health that they had to be carried from the Great Hall. Unlike some of those who retired, none of the new leaders is considered a powerful figure."
Polish unions get,
U.S. financial aid,"The Polish worker's strike con tinued late this week as both the Soviet government and American labor unions became involved. A delegation of the country's new government officials led by Deputy Prime Minister Jagielski requested aid for Poland's slump ing economy from Moscow. In the mining town of Katowice, new party leader Stanislaw Kania appealed to his party members to help the coun try return to a normal work schedule. According to a Polish press agency reporter in Moscow, the new government is upset about a $25,000 contribution from the American labor movement to the independent Polish unions. An article which appeared in all major Polish newspapers claimed the money constituted "" interference in the internal af fairs of the Polish nation."""
NATIONAL,
Carter declines on,
three way debate,"The League of Women Voters invited all three major presiden tial contenders Tuesday to take part in a debate, but President Carter declined because of the in clusion of Rep. John B. Anderson, the independent candidate. Calling Anderson's candidacy "" primarily a creation of the press,""  the president stood firm in his insistence that the first debate be between himself and former California Gov. Ronald R eagan , the R epublican nominee. A spokesman for the League of Women Voters said they would proceed with the scheduled Sept. 21 debate without the participa tion of Carter."
Commission reports,
on organized crime,"The Pennsylvania Crime Com mission held a presentation for the Legislature in Harrisburg Tuesday and Wednesday to generate publicity for what its chairman called the "" flour ishing"" penetration of the state by the Mafia and other elements of organized crime. However, a controversy erupted over the public relation tactics of the commission which included a warning that Penn sylvania is nearing the top of the $200 billion-a-year underworld"
NEWS,"gross. The 290-page, year-long study of interconnected criminal activity released by the commis sion describes an organized crime network which reaches from Pennsylvania into 33 other states, the District of Columbia and Canada. Some legislators became irate when Crime Commission Chair man Alvin B. Lewis revealed that copies of the report, not sched uled for release to anyone until Thursday, had been distributed a day earlier to about 70 federal and state prosecutors in the state, excluding the legislators."
Javits loses in NY;,
"Conn, picks Buckley","Sen. Jacob Javits lost his bid for renomination in the New York State Republican primary Tues day, while former Sen. James Buckley won his party's nod as Republican nominee for United States Senator from Connecticut. Javits was defeated by Alfonse M. D'Amato, a "" conservative town official.""  The 76-year-old senator's age and health are believed to have been the major issues responsible for his defeat. Buckley defeated opponent Richard Bozzuto by a 3-2 margin in the Connecticut contest. He will face Democratic candidate Rep. Christopher Dodd in the November election."
"Friday, September 12,1980","removal of gall stones. According to a spokesman at the Evangelical Community Hospital in Lewisburg, the gall bladder operation was a success and Zeller was listed in "" good"" condition at mid-week. Zeller, 61, plans to be away from the campus until Sept. 22. In the meantime, he is having U niversity corresp on d en ce brought to him at home. "" I'll still be working,""  he said before the operation."
"Mailbox vandalized,",
removed for repair,A mail deposit box located near Swartz Hall has been removed for repairs after being found ly ing on the ground last weekend. The mailbox was knocked off its post sometime late last Friday night and retrieved by a letter carrier last Saturday.
A,spokesperson for the United States Postal Service said the mailbox will be replaced as soon as it is repaired. Neither local law enforcement authorities nor the security force here had received any com plaints about the missing mailbox. There are no suspects in the case.
Flu shots offered,
LOCAL,
beginning Tuesday,99
Zeller operated on;,
"condition is "" good",Vice President for Administra tion and Finance John Zeller was operated on Monday for the
^,
uc,
X,
neuu,
S,
tudents,
facturv-ff.,
You ARE MtARS,
welcome,
//,
T - THfr;,
"430 Market St., Lewisburg",
Come browse in our,
friendly store. We enjoy,
| having you look,
SS at and try on our,
1 new fashions,
i,
I,
--arriving daily.,
I THE,
JEANS STORE,
4 * >>,
AREA,
LEE JEANS - WRANGLER JEANS FOR GUYS AND GALS -,
CHICS - FANCY PROPS - RUMBLE SEAT - MS. LEE -,
IN DENIMS AND CORDUROY! PAINTER AND CARPENTER PANTS,
- DANSKIN TIGHTS AND LEOTARDS -,
"""CAMPUS"" SHIRTS, SWEATERS, JACKETS. THEY'RE ALL HERE",
"AT THE BLUE ""J""",
tS *,"Flu shots will be available at Ziegler Dispensary between 9 and 11 a.m. and 2 and 4 p.m. beginning Tuesday. Annual vaccination is recom mended by the U.S. Public Health Service to prevent infections of the lower respiratory tract, ac cording to University Medical Director Dr. Joseph Weightman. Side effects of the vaccination are few, and may consist only of a redness at the sight of the injec tion for one or two days, ac cording to Weightman."
Library announces,
expanded schedule,"The Ellen Clark Bertrand Library has extended by one hour its open hours for every day of the week except Saturday beginning this semester. The library is now open from 8:30 a.m. to midnight Monday through Thursday, from 8:30 a.m. to 10 p.m. Friday, from 9 a.m. to 5 p.m. Saturday and from noon to midnight Sunday. This means the building is open an hour later on weeknights and an hour earlier on Sunday. Joel Clemmer, the library's chief of public services, said the Saturday hours will also be ex tended toward the end of each semester."
High cost of loving,
to be sermon topic,"The Rev. Evelyn Newman of Riverside Church in New York w ill con d u ct a series of w orkshops on prayer this weekend and will be the guest preacher at the 11 a.m. service Sunday in Rooke Chapel. The sermon, entitled "" The High Cost of Loving,"" will follow the four-part prayer program "" Reach Out and Touch Some one."" The four sessions will be Friday night and Saturday morn ing, afternoon and evening."
Sex topics explored,
in seminar program,"A nine-week seminar on human sexuality will be offered beginn ing Sept. 21 by University Chaplain, the Rev. James Gard ner, and Arlene Hoyt of the Counseling Service. The two-hour sessions on Sun day nights will "" seek to explore the attitudes, values, opinions and keys to the decision making that are involved in our sexuali ty,"" according to the seminar's organizers."
Mon.-Thurs. and Sat.,
9:30-5:30,
Fri. 9:30-9:00,
VOLKSWAGEN,
RABBITS,For Immediate Delivery
Becker,
Volkswagen,Routes 11 & 15 Selinsgrove Phone 743-1514
WEATHER,"Today: Mix of sunshine and scattered clouds. High will be 75-80, with winds variable to 10 m.p.h. Probability of precipita tion is 25 percent. Tonight: Becoming very cloudy, with a low near 60. Saturday: Variable cloudiness, with a 20 percent chance of rain. Highs will be 75-80. Sunday: Mostly cloudy, with scattered thundershowers late in the day. High temperature will be 70."
Buckneliian,"(USPS 068 920) E stab lish ed  1879. Published w e e k ly during the co llege ye a r. A nn ual subscription $10. p ayab le in o dvance. Entered a s second cla ss m atter; Septem ber 21. 1922 at the post o ffice in Lew isb u rg . P en n sylva n ia , under the act of M arch 3. 1897. Prin ted  by The S ta n dard  P rinting  C om pany. M ilton. P en n sy lv a n ia . C ircu latio n : 4200. O ffice  located in the east w ing b a se m ent Of Roberts H a ll. A d d ress: Box C3059. Bu cknell U n ive rsity. Lew isb urg . P en n sylvan ia 17837. Editor Ken Q u a a s. Box 0 9 0 0 . B u c k n e ll U n iv e rs ity . Lew isb u rg  P en nsylvan ia 17837. M anag ing Editor: D avid H a w kin g s. Box 0 6 7 3 . Bu cknell U n ive rsity. Lew isb u rg . P en n sy lv a n ia  17837."
"Friday, September 12,1980",
NEW!,
Page 5,"By MARY LISA MURGIANO . Workers at the physical plant made scores of improvements and renovations on campus this summer, including an updating of the University's system of fire hydrants, according to Physical"
V,
VHP,
Utei,"* Plant Director John Bell. One hydrant was removed from outside Olin Science Building because it did not have adequate water flow, and the hydrant opposite Swartz Hall was replaced because its threads had been reversed during installa- ^ tion. These adjustments were"
"t,","deemed necessary after local and state fire agencies reviewed the hydrant system in March, Bell Photo--Corl Jensen s gajd physical Dlant workers completed several maintenance and In additi0n, the physical plant * ^ t nroiocts over the summer. Among them was the is augmenting the present system instaHation of a concrete sidewalk leading to Martin House on t i g more St. George Street."
New staff appointments made,. ____ : _ ________ and fPiinwshiDS and grants for spec
Fire hydrant system is updated as,
physical plant tackles major projects,
A,"nf st fnr Tavlor and Kress Halls and protection in the vicinity of St. George and Brown Streets. Bell expressed relief that the faulty fire hydrants were fixed before there was a need to use them. Bell's staff of almost 165 workers tackled other major pro jects this summer as well. New trees were planted outside Memorial Stadium, where seat covers were installed in one sec tion to separate the Bucknell spectator section from other seats. The fence surrounding the stadium was painted as well. ""Most people notice the im provements around them,"" Bell said, ""but no one sees the things buried under the ground,"" refer ring to the replacement and up dating of a transformer system for Taylor and Kress Halls and the Botany Building. The staff also modified and im proved electrical service to the Sports/Recreation Complex, Davis Gymnasium and Bucknell West. This was accomplished by switching a gear on two feeders in the University Center so both could be used simultaneously. These major projects are just a small portion of the work done at the University in the past three t months, Bell said. The physical * plant also continued its usual tasks of recementing and repav ing, painting classrooms and dor mitories, roofing, drainage renovation and keeping the University's grounds in ""top con dition."" Some projects are still underway."
J,"Appointments have been given to 20 persons to fill different level positions in the faculty and staff here. Among the new appointees is James King, who is filling the post of director of the military science program. The new faculty members, listed in alphabetical order by departments, are: Stephanie Grilli, visiting assistant professor of art; Robert Bertin, visiting assistant professor of biology; Nancy Phillips, visiting assistant professor of biology, and Robert Brungraber, visiting instructor of civil engineering. Also new this semester are Janet Lahner, visiting instructor of civil engineering; John Pool, visiting professor of economics; Mary Wetzel, visiting instructor of education; Jeanne Krochalis, visiting assistant professor of English; F. Elaine Williams, visiting assistant professor of English (theater), and Paul Sussman, visiting assistant pro fessor of geology and geography. Others include Myra Glenn, visiting assistant professor of history; Phillip Benham, assis tant professor of management; Timothy Sweeney, associate pro- fessor of management, and Steven Bowser, visiting assistant professor of mathematics. Also, Richard Steinberger, assistant professor of mechanical engineering; Elaine Hopkins, visiting assistant professor of French; Dwight Ladd Jr., visiting assistant professor of linguistics and German; Christy Dana, visiting instructor of music; Linda Thomas, visiting instructor of political science, and Mauro Caudarella, visiting a s s i s t a n t  p r o f e s s o r  of psychology. Five faculty members who have been given leaves of a b s e n c e  w e r e  a w a r d e d fellowships and grants for special off-campus study for the entire 1980-81 ye a r .  Re c e i vi ng fellowships from the National En dowment for the Humanities were Gerald Eager, professor of art; Mary Hill, associate pro fessor of history, and M. Lois Huffines, associate professor of linguistics and German. Owen Floody, assistant pro fessor of psychology, will begin work under a two-year research grant from the National Institute of Mental Health. Paul Kling- berg, assistant professor of mathematics, will be a teaching fellow at the University of Penn sylvania."
UNISEX,
HAIRCUTTING,
Our expert stylists,
know all the latest,
methods in cutting,
men's and women's,
hair.,
JOSEPH CARROLL'S BEAUTY SALON,"431 Market Street, Lew is burg 524-0790 or 524-4562"
THE,
PENNSYLVANIA,^<vsooo<>oc<x>cococ<xocoooooo<sooo<oooo<>c>!
"RD#1, Winfield, PA 17889",
"""Makin' It Naturally Good""",
Phone 717-523-1200,WCMMOWNMUim
HI,Educational Center TEST PREPARATION SPECIALISTS SINCE 1938
Fall Term,
Class Starts,
GRE,
(Oct. 18) Sept. 14,
GMAT,
(Oct. 25) Sept. 14,
LSAT,
(Dec. 6) Oct. 5,
contact Eleanor Coburn,"444 East College Ave. State College, Pa. 16801 (814)238-1423 New Berlin * ------- Rt. 304 Lewisburg Do/.Valley j iWinfield The ^ Pennsylvania > ^ 2 ^ . Cheesemaker"
I,Factory Outlet - Open 9 til 9 Weekdays & Saturdays (anuary thru May Weekdays & Saturdays 9:30 a.m. -  5:30 p.m. Fridays 9:30 a.m.-8 :3 0  p.m. Closed Sundays and Holidays m [ Top Of Hill
VISA,
I,
Q,
I',& 8 0 0 0 0 0 0 0 0 0 c << 0 0 p 0 f f l 0 0 c i 0 0 0 0 ( > 0 0 0 0 0 8 0 0 0 0 0 0 0 5 SOS>SOSOSC<SOSOCOut
P ag e 6,
NEWS,
"Friday, September 12,1980",
Security changes,
planne,
",",
Chief to retire,"From SECURITY, page 1 with 18 years of experience on campus and 20 years previous ex perience as an army officer and ROTC staff member. "" Fine is responsible for having molded this force,""  Roberts said. Fine denies having ever offered his retirement to Zeller, though he said he did consider quitting over a dispute about wage in creases and pension benefits. He said he never knew of the more stringent requirements for his job until he was "" chauffered"
COLLEGE,
STUDENTS,
Improve your,
grades!,
Send,
$1.00 fo r your,
"306-page, research paper",
catalog.,
All,
academ ic,
subjects.,
C o lle g ia t e  R e s e a r c h,
P.O. Box 25097 H,
"Los Angeles, Ca. 90025",
L,"up to Zeller's office""  by Physical Plant Director John Bell the day after the union vote June 12 and shown a job advertisement for his position. Roberts said the reason most people cited for voting in favor of the offer made by the United Plant Guard Workers was the promise that unionization would guarantee Campus Security per sonnel the full emergency train ing they say they are entitled to receive as sworn police officers. Roberts said the administra tion had refused "" to allow us to reorganize the department into a useful organization."" The hiring of a new security director with additional qualifications would produce all the changes in policy "" we have fought so hard to receive,""  he said. As far back as 1976, the securi ty staff made a written request "" asking the University to send the security men back to school to have certified state training so we can better protect the Enclosed is $1.00. Please rush the catalog. Nam e _ ________________ Add ress _____________ -- City ______________ _ ______ State _ ______ 4?,"
'2,U/Sc ftk. ' -Z ip -
