heading,content
D.,"Si-ns, chemical en- vinoering. 1 roiTioted"
to,"associate professors were Paul John Brand, geography and ^'eology; Beatrice Elizabeth Gonzalez., Spani<^h; Dr. Fianci.s"
David,".Martin, 'hilosophy; and William Dun..*an Mc- Uae. music."
Powell,
Burwell,
Rogeis,
has,been
promoted,to assistant
prnfessor,in Knglish;
David,Paul
Souders,to .is- ^istant professor of
mathematics,"and Charles Frederick Stickney, to assist- ant professor of physics. Those added to the faculty include .Vfonroe"
C.,"Fisher, formerly"
on,the faculty of
The,Citadel.
A,"graduate of Duke University, whore he also re. ceived his master's degree, Mr. Fisher has had eight years of experience in ""ollege teaching. He also served foi four years as meteorologist with Pan"
Ameiican,World Airways. Dr. Herschel Jones of the
U.,
S.,
Department,of .\griculture will be- come assistant professor of political
science.,
A,
former,teacher at the
University,
of,"Wisconsin,"
where,he raitud his doctor's degree. Jones has been serving also as
a,lecturer al
American,University. In chemistry the
new,appointee is
Hennctt,
K.,"Willeford, Jr.,"
who,is scheduled to receive his doctor's de- gree in .August from the University of Wii^consin.
where,
he,has been a teaching assistant.
Two,
men,were given one-year ap- pointments to fil! vacancies while reg- ular members of the faculty are on leave.
They,include
C.,
Harvey,Palm- er. Jr.. in physics and John
M.,
Brown,in
ps>chology.,"Mr. Palmer,"
who,re- ceived his bachelor's
and,master's
degrees,
from,
"Harvard,",
has,been leaching at
Johns,
Hopkins,Univers- ity. Mr.
Brown,"a graduate of Penn State, has been an assistant in psy- chology at that college for the past two years. In the political science department, Charles"
A.,Hollister of
Muhlenberg,C^ollege will succeed Dr. Vincent
V.,
Thuisby,
who,has accepted a position at Floiida State University.
A,"na- tive of Nebraska, Hollister was grad- lated"
from,
Nebraska,State Teachers College at Chadron.
Nebraska.,.After several years of teaching in the public school in his
home,"state he enrolled at the University of Arizona, where ho"
was,
awarded,his master's degree in
104<i.,
He,has also
engaged,in graduate study at the University of
"Wyoming,","Hastings College, and the"
Wharton,School at the University of Peimsylvania. .Mr. Hollister taught at the Univer- (See
"FACULTY,",pg 8)*
m,^s-
U,"""#tvi,^,^-,,.^, --jvr^r*<<.i'.-.- *"
I,"'.1, # #*# >y^tj*t0mmfMimm0>>"
PAGE,
TWO,
THE,
"BUCKNELUAN,",
BUCKNELL,
"UNrv^ERSITY,",
"LEWISBURG,",
PENNA.,
"FRIDAY,",
SEPrKMUEK,"22, 1950. niMIUMIIMIIlMI 11IUUIHI1I1IH4III1H1H1111UIM1HHI Ill HlllMIMl I MllllllllllMllllllllll llllllKIKI IIIMIMII Ml"
IcMtaital,
Column,
|)agt,<<<<<<<<M<<t<<MIMI<<<<l<<lllll(<<)ll<M lll*IMI(*IIMIii*(IIIIIIMHII(IM*Mllllt(llt|>>l
THE,
BUCKNELLIAN,
"FRIDAY,",
SEPTEMHKR,"22, 1950. lll|IMIIMI(l**<<IMIMMIIIIIIIll(>illtMtlllll*MIIIII*>*(M*l**llll*<ll*lll*l"
"Frosh,",
Yes:,
"Bucknellians,",
Maybe,
Although,
'*Freshman,
Orientation,
"Week""","is ofiicially closed,"
we,feel that the
orientation,"of ."")70 yearlinjjs to their"
new,
home,can't be
accomplished,in a
matter,of
days.,
"Therefore,",
we,don't
think,it's too late to
welcome,the Class of 1954
and,
add,a
hope,that college will
mean,the
beginning,of a
higher,edueati-'n. It
may,
seem,
strange,to
have,full run of a
deserted,
campus,for a
"week,",and then find
upper-classmen,
moving,in as if they
had,a
long-term,lease on the
place.,
To,those
Frosh,
who,
seem,"slight- ed, all"
we,can
say,is the
time-worn,
phrase:,
Bucknellians,aren't
made,
overnight.,FU'iiig registered as a
student,in the
University,doesn't aut<>>-
matically,
make,
one,a
Bucknelban.,
There,
have,
been,students
who've,
gone,four years
without,realizing that
they,are a part (tf the
school.,
And',those are the
students,
who,still feel slighted
when,
graduation,
day,rolls
an)und.,
There,isn't
any,
formula,to follow in
becoming,a
Bucknellian.,It
merely,"takes a little time, a little effort, a little patience,"
and,a lot of interest.
Probably,the first test will
come,
tonight,at the Pej) Rally.
Those,
who,go with a sincere desire to learn the cheers
and,
songs,;ind
make,scmie noise will have a head start on the
Frosh,
who,sits in the
dorm,and
watches,the
parade,
go,by. If a
word,to the
wise,"is sufficient,"
then,
we've,said
enough.,
No,
one,is
going,to lead
you,
down,the
path,to
becoming,a
Buck-,"nellian, nor is"
anyone,
going,to
hand,
you,a
book,of instructions.
Just,"join in the spirit, forget"
your,
days,of
glory,as a senior in
High,"School, let the"
upper-classmen,
do,
the,
talking,
for,
a,
few,
"weeks,",
and,you'll be a
Bucknellian,before
you,can say.
"""BEAT",
"GETTYSBURG"".",
^,* *
r,
-,"^ ^ . ,"
'That,
Hello,
Tradition',* . .
^',"HiukiH-ll L'nixersitv i^ii't llu- richest school in tradition. In fact, there"
seems,to be a
pressure-group-inspired,reaction to the few
remaining,traditions (like Irosh
hazing).,
But,we're not on the
bandstand,to cry over spilled
milk.,
We'd,
merely,like to
remind,
you,that there's one tradition that can't be cut by
com-,"mittee action. In ca>e the Clas> ..f l!>>.'i4 hasn't heard, it's the"
"""Hello""",tradi- tion. .\ll it consists of is a smile ;'.nd a
hello.,It's
given,to
everyone,
you,
meet,on the
campus,jwiihs.
Besides,
putting,
you,at ease
and,
making,others feel at
"home,",
saying,
"""Hello""",is a help in
making,friends
(and,
maybe,"a date, if"
you're,in the
market).,If
you're,.-self
conscious,
and,feel
a,little silly
the,"rir>t lew times,"
just,
think,
how,silly the ..ther
guy,w<<.ul<l be if
he,didn't
answer.,
The,
University,has a
reputation,for
friendliness.,Since the
"""Hello""",tradition
seems,to be
responsible,"for the reputation, let's"
hang,on to it!
A,smile and a hello is
somcthin};,that
everyone,can aftord.
5a<<%%X%XX<<X36KX3OO00aOOO00tX<KXW>>%%>>%%%>>X>^^,
ON,
OTHER,
CAMPUSES,
%,
"FRIDAY,",
SEPTEMBER,22 7:30 p.m.
Freshmen,Fireside Leader. 7-9:00 p.m. Hilltop
Theater--,"""East Side of"
"Heaven""",8:00 p.m. Pep Rally
SATURDAY.,
SEPTEMBER,2.3 Varsity Football
--,Gettysburg Fraternity Open House.s
SUNDAY.,
SEPTEMBER,24 9:30 Class 10:.30-10:40 a.m. Lt'wisbuiK Church Services 5:00 p.m. Church Fellowship Group'*
MO.NDAY.,
.SEPTEMBER,2:> Senate Meeting
Women's,Glee Club Men's Glee Club Men's Glee Club Tryouts
TUE.SDAY.,
.SEITK.MBEIC,26 Fraternity and Sorority Meetings
"WEDNESDAY,",
SEPTE.MBER,27
Annual,Convocation House of Representatives Cap &
DaRger,Meeting
New,
Members,Sociology Club Meeting
W.,
S.,
G.,
A.,Meeting
New,Faculty Reception Diiectnr.-* Meeting-
WVBC,
Hunt,Lib.
BC,Hal Lit. Aud. Lit. Aud. 11:00 a.m. 4:30 p.m. -1:30 p.m. 7:00 p.m. 7:0<) p.m. 7:00 p.m. 7-8:lK) p.m. 4:30 p.m. <>:45 p.m. 7:00 p.m. 7:00 p.m. 7:00 p.m. 7:30 p.m. Davis
Gym,
Hunt,Lib.
BU,"Hall SS22 Baptist (""hurch Pres."
Home,
Hunt,Lib.
THURSDAY.,
SEIM,
EMBER,28 Cap &
Dagger,.Meeting
Women's,Glee Club Men's Glee Club Band Kehear.<al
BU,Hall
BU,Hall .... Lit. Aud.
Band,
Room,It took just ;{() h<<>urs for a
17-year-old,
"""brain""",t(.
wrap,
up,four >ears of college this year at the
University,of
Chicago!,Jo.seph
Ed-,ward Xel.son
passed,a battery of 14
placement,tests
which,
shows,he
already,has the etiuivaienl of a college e<luc.itioii.
So,.N'elson
by-,passed undergraduate
work,at the
University,U) do
graduate,
study,in mathehiatics.
Wonder,if he had to take
World,Lit!
*****,
Students,in a
chemistry,class
were,
bombarding,
the,
professor,with
questions,on the nature of
matter,
and,"space, reports"
The,
Hurri-,cane. The
questions,
were,"flying fast,"
and,
the,
mentor,
got,
a,little
flustered.,
Trying,"to put his point across, he raised a quieting"
hand,and
explained:,
"""Space",is
matter,
with,
nothing,in
"it.""",
What's,the
matter?,
*****,
The,late C'.eorge
Lyman,"Kitlrcdge,"
famed,
Shakes{>carean,"scholar at'Har\ar(l,"
inspired,
many,
anecdotes,
which,
have,
already,
made,
him,a
legendary,figure in the lore of
colleges.,
Lecturing,
one,
day,while
pacing,
about,the
i)latform,in his u.sual
"manner,",
he,.stepi>ed off the
edge,of the
platform,
and,fell to the
classroom,
floor.,
He,
picked,
him-,"-self uj), (lusted himself off"
and,
climbed,
back,up on the
platform,to the tune of a tittering
class.,
He,"faced his >tu<lents and said with dignity,"
"""C.entlemen,",
I,believe this is the first
time,
I,
have,ever
descended,to the level of
my,"audience."""
Guess,
we,don't
have,
them,all!
*****,
When,
Cyrus,
Northrup,
was,
president,of the
University,of
Min-,nesota in the early
years,of this
"century,",he
once,
participated,in a
ceremony,to
dedicate,a
new,
cemetery.,
The,
day,
was,cold
and,raw.
When,
Northrup's,turn to
speak,
"came,",he put his hat back on his
"head,",
suggesting,"that the others do the same. ""I do not care."" he said, ""to contribute"
personally,to the success of this
"cemetery!""",
*****,
h'reshmen,at the
University,of Ibdlaiul are re(|uired to
have,their heads sh;ived to a
high,"jiolish,"
and,to ni;ike their life on
campus,
more,
"complicated,",they .irenot
pennilled,to u.'-e the doors in entering schi>>ol
buildings,
during,their entire first year I ('lUess they don't
know,\\ hich eti<I is ii]) !
*****,
June,
May,
March,was recently enrolled at
Oregon,State
Agricul-,"tural College, Corvallis,"
Oregon.,"r << * * * In !!>>'_':{,"
The,
University,of lUiffalo raised an
endowment,
fund,of live million <lollars in just ten days. 'I heir
Bisons,
must,i)ay off!
**'***,
Among,
"75,000,000",adults in the
United,"States, there are"
almost,
cne-and-two-thirds,times
as,
many,
complete,illiterates
as,college graduates!
Good,
they,don't classify college students as adults!
Lighting,
once,hit a
Duke,cha])el .-^pire twice
within,three days. \\ e (l>ii)'t
even,have ;i ch;ipel for ;i t;trget !
Letter;,
to,
the,
Editor,Radio Station Meeting Hunt Rei*
A.,
S.,
M.,
E.,Meeting Eng. 122
300,
Acres,
Set,
Apart?,It
would,!)e nice if
we,
could,beliexe the phra.se
"""Hucknell",
Univerxity,"'lOO acres set a])art"". If the"
person,
who,
coined,the
expression,
meant,that our 300 acres is set
apart,for the
advancement,of
higher,
"education,",then we'll go
along,
with,it.
But,if the
phrase,
means,
that,lUicknell's .'{(M) ;icres are .set ai>>art
from,the rest of the
"worM,",it
should,be
stricken,
from,the recor(N.
The,late
war,
proved,"that no tract of land is isolated, but"
do,
we,realize the fact
?,
A,visit to one of the Political Science classes will point out that too
few,of
our,
students,
know,
how,to read
newspapers.,
While,we're
educating,"..urselves, it's our"
duty,to
prepare,to
spread,a little of our
knowledge,after
graduation.,.\nd learning
how,to
evaluate,national
news,is an
important,part of our
educa-,tion if we're to be enlighteneil ri>>izen>
With,the threat of
war,
hanging,"over our nation, it's no"
time,to
bury,
our,
heads,in
school,
books.,
We,
belong,to a
group,that
should,be able to interpret
news,in a rational
"manner,",
and,this is the place to practice!
Frannie,
"Frosh,",
Undaunted,
By,
Dorm,
"Renovation,",
Discovers,
New,
World,
(Sifp,
lurkufllian,
OFFICIAL,
.<<;TrDENT,
PUBLICATION,
OF,
BUCKNELL,
UNIVERSITY,
"LEWISBURG,",
PENNA.,
Established,1897
EDITOR,
JACK,\VILI.I.\MS '51 BLSI.NE.<<^S
.MANAGER,
WILLIAM,
HK.NKKLMAN,'32
MANAGING,
EDITOR,
CLAIRE,HARTI!
TA,Assistant
Mitor,I><<n .MurdauRh '.Jl New.s Editor
Harry,-Slaley .12 Sports Pkiitor Clyde
McAvoy,'51 Assistant
News,Editor;* Betty Hill *.>2 Belber Robinson '52 .
ConsuUinK,Editor Dave
Kahn,'31
Hilltop,
Presents,
Musical,
In,
First,
Show,
Of,
The,
Year,Hilltop
"Theater,",Hucknell's little movie  house in the
Vaughn,"Literature Audiioriuni, will inau^oirate its fall sea.<<<>n with ""East Side of Heaven"" at 7:(>0 and ;*:00 o'clock toniRht."
The,"fir.st picture scheduled at the Hilltop will feature BinK Cro.sby, Joan BInndell, Misch Auer and Baby Sandy. It is a"
human,"interest story supported by catchy music. There is no fi.xed admission fee for the shows, but students are asked to contribute generously to support the project. In the ihow, Binjf"
Crosby,"is a ainK- Injr taxi driver, and his sweetheart i> {I telephone operator."
Comedy,i.s in- troduced by his
"roommate,",a nut who has learned
from,reading the' .''tars that he .should not even consider the possibility of looking for work. In additiim to the feature. Sports ThiilU of the year
and,
Nutty,Pine Cabin with
Andy,Panda will Ix' shown. Adv.
Mgr,Society Editor
Exchange,Editor Chief Reporter l'hoto^;raphy Fxlitor . Barbara Kaiser Circulation Mgr. .. .Molly I'^dwards . Bobbie
Roemer,.Mary
Ann,Fritz . (iordon (ireene Technolo>fy Editor Dick ( oieman Marion Bucher Features Editor .... Robert
Woolhous*,( artoonist I>arry Stanley Radio Kdition
Fiditor,Kick Bloom I'roKraro
Fklitors,Babs Fiedler I- ay Roberts
MEMBER,
OF,
INTERCOLLEGIATE,
PRE.SS,
THR,
IIKKNKI.MAN,In piiltUrih^il WMkly ilurini: the rnHrcP >Hir. Mrmltrr *f XYtf lnti-r<'>>H<>KlMi<* Nrwaiiaprr \>>>>m-\m- Uon of the .'Vlldinn Allantir NtMtoa.
AJCNLAL,
SIHSCKIPTION.,
"W.OO,","p>>y- *bl<> In a<lvan<'e. Knlrrr*! ## am-nnil rlanii tamtUr at thp povt olHc*- at Lrwlabiirf, Panimjlvanls. Member"
Pissocioied,
Golle6iato,
Press,
'>>,"Djvribulo' of Kdltnrlul om<M: Cnlvrrally I'rInlinK C*. 12 North Fifth Htr<<<<t. Offlcp JVIf-plionr B-I4MI Mpfi'n I'oM Onirc Hnx >>7S; liarrlpi Hull rn-rpllonlat ilr<<k Adviser, Prof. Robert"
M.,Ewing. #IPKIONTVD ram nitiom*!. >>i>>v<<>>ti>><<i<<<< *>>
National,
Advertising,
"Service,",
Inc.,C>>lUgt PmbUshen ReprttenUlht 4aO MAOiaON
AVK,
NKW,YOKK N. Y. CMicMS * *otroa # Lot <<Miui* # Ua Fa*aciK<<
Dr.,
Horace,
A.,
Hildreth,
Receives,
Honorary,
Degree,
From,
Suffolk,
University,Dr.
Horace,
A.,"Hildreth, Bu<knell president, was"
awarded,the honorary degree of Doctor of Pxiucation at an- nual Commencement
exercises,last spring at Suffolk University. The citation for Dr. Hildreth. who Rave the
Commencement,"address, fol- lows:"
"""Horace","Augu.><tU3 Hildreth, Presi- dent of Bucknell University and form- er Governor of the State of Main*?,"
who,after years of success as a prac- ticing lawyer in Iwth Massachu.setts and Maine entered the political arena to give (tutstanding political service to his fellow
men;,"an able executive, he now crf)Wns his career by bringing his faith in"
democratic,
government,
and,
his,
competent,administrative ability to the
Presidency,"of one of America's oustanding Universities."""
OPEN,
HOUSE,Delta
Sigma,fraternity will hold an
open,house after the football
game,.Saturday
evening.,"P'veryone is in- vited to attend. Di'ar Folk.-,"
Am,almost
unpacked,by now. Of I'lUise there still isn't any place to
I,To The V^hov: This is the fir.>it time I've ever writ-
I,"t<'n to any paper, but somethinjr has j been bothering"
me,since
I,cana- to I .sch )ol here
and,
I,
want,to get it off
I,of
my,chest
now,before the semester
I,is over and
I,haven't .said anythiiiK.
',Thin is my
comment.,There i.x en- tirely too
much,billing and cooing go- j ing Oil around the girls
dorms,before thty gi> in at night.
I,
I,don't see
anything,
wrong,with
I,"giving a date a good night kiss, but hang mv clothe.s. but the slightly"
I,"^"" *""^^""'^ ^^ere and keep ki.ssing her in rumpled look seems popular here."
|,"J'""^'""^ '<< ""<<' ^^^ ''""y ^""""""''*^'^ P*""''''*'"
I,like
my,
roommate,very
much,1 should act. at lea.st
I,think
I,like her.
Am,"not ! -^'""""y >>'""""^'' ' ^''''^ *""^'""""1 '"" ^^""^ ^^*'"" riuite sure"
who,".she is yet, but one .,f"
I,"watching this going on! It really di.4gusts me,"
and,
I,don't think that the students are using good taste. Please don't print
my,
name,becau.sv? of my girl friend.
We,get our kissing thi^ four girls living in this room with v.H
must,be
my,
roommate.,
We,are still doubled
up,"because of the reno- vations   on second floor [..ari.son, but, one of the upperclassmen told me that 1 <^""""^ >>'<<'""**<< ^^^ ^as to go back to the if thi' work isn*t completed by next yfur President Hildreth going to contact the himself was bricklayer's #inion and"
demand,action.
I,really don't mind the
hammering,"?nd sawing much, though it's rather .soothing"
after,
the,
morning,"rush for coffee at Chefs. Yes, I've ; earned to drink coffee black, too!"
"I',",really doesn't taste so
bad,after ihi Ur-it swallow. 'llie
upperdass,"girls are so friend- ly! they .<mile at me all of the tin^e,"
and,three of
them,practically j/ot in a fight trying to light
my,cig- arette the other day.
Am,
going,
to,
a,fraternity open hou.se this
weekend.,1 don't exactly
know,exactly
what,"that is, but sup- po.se it will turn out to be"
some,sort of an informal
tea.,.My counselor iiys
I,"have a lot to learn about Buck- nell, and she thinks"
I,
may,pick up
^ome,
important,
knowledge,
at,this
open,
house.,
Maybe,"its kind of a seminar course, huh? Miss you all very much, and"
I,nt-ed some
more,
money,in
my,"checkinjT ac- count. I plan to do a lot of studying this semester, and would you please send"
me,
my,"black  formal the one with the low neck. Love,"
',"Your daughter, Frannie"
P.,
S.,
How,is Dad's
back?,He shouldn't
have,tried
to,
carry,
my,tiunks upstaiis all by himself! Ed. Note:
--,
The,"above letter was ""captured"" by one of our frosh"
women,counselors.
We,are printing it with the writer's permission.
WVBU,
MEETING,There will be a
meeting,of all ac- tives and all those interested in work- ing for
WVBU,next
Thursday,night at
7:00.,
Under,the direction of Kd
"McCom.sey,",the
campus,station will
promise,to
have,a
new,
and,stellar year. Be .sure to come. dorm. Ed. Note: own a car!
Name,Withheld lie must be a senior to To
The,Editor: Haven't the men of the class of '54 heard the ivy whisper
yet?,
We,ad- mit the
"""men""",haven't really been on
campus,long
enough,to
become,fa- miliar with
campus,"traditions but the ""Hello"" Spirit is .so sadly lacking that we"
wonder,if they aren't old
