heading,content
W elcom e to Bucknell,"Welcome class of 1994. By now you ve bought your books, your schedule is for the most part set, and you have a few budding friendships. Your R.A., along with the rest of Residential Life have told what you can not do while you're here at Bucknell. And, invariably, they have given you an overly optimistic characterization of what you may accom plish during your years at this fine institution. What we have presented on these four pages is a short glimpse of what Bucknell is. These are the happen ings of a university entering its second century of existence: construction, academia and the on-going dilemma of how to grapple with student life. Act 31, and the university's interpretational enforcement of the Commonwealth's law, precludes us from drinking in the pnvacy of our own dormitory rooms, crowding into fraternity house basements to socialize and have a beer - and in some views, from generally having a good time. But alas, we are adjusting, albeit slowly. The Greek system, a long-standing and revered tradition here at Bucknell, has sustained some pretty heavy damage, mostly in terms of lofty criticism by faculty, staff and community. Most Greeks and alumni are upset, yet seem to be adapting to the notion of restructuring. Again, the administration and the often obscure ""powers that be embodied in the Board of Trustees, have dictated a very drastic change. The ball has now been handed down to us. We are to work within a predecided framework to restructure ""our"" system. The Bison/Bullseye renovation project is slated for completion in early November. And the same folks who are bringing you playfair and exciting dinners with celebrities like Gary Sojka and Charlotte Jacobsen Weddle, are planning all kinds of neat activities with which you may occupy your time during ^our stay here at Bucknell. This, you must think, is the good news. It's change - student space seems to be receiving the priority it should have received years ago; students will now have an updated social space all to themselves. It's about time. The really good news, other than the fact that the University has spent over $10 million in the past year building buildings, is that opportunities for you abound at Bucknell. Whether it's running for class representative in the Bucknell Student Government (BSG), running track, joining a fraternity or sorority or becoming a member of one of the other organizations on campus - there is a veritable plethora of opportunity. You have the chance to be political, journalistic or even artsy. This is what Bucknell is all about. Opportu nity. Opportunity for individual growth, to explore the vast wealth of knowledge that is our faculty and staff to finally seek out those deeper things in life and yourself. You have only four years in which to cover this ground Carpe Diem. This is what you can do at Bucknell. You can effect change on campus and better student life. More impor tantly, you can expand your own horizons. While we can't go as far as to say that ""What you put into Bucknell you will get back out, as Residential Life staffers will try to firmly impress upon you, we do believe in the con cept of opportunity and student empowerment. This is your chance, make the most of it. Don't fall into the trap set for you that is orientation. Orient yourselves, and form your own perspectives. Recognize Bucknell University for what it is, and what it means to you. We urge you to take notice of what is around you. Make your decisions wisely and plot your course with care. ;"
The Bucknellian,"Bucknell University Lewisburg, PA 17837 Volume 106, Number 1 Editor-in-Chief Steve Hoerter '91 Business Manager Jim Staley '93 Managing Editor Julie Bachman GR"
EDITORIAL STAFF,
PRODUCTION & OPERATIONS,"Associate Editors Contributing Editor News Editor Sports Editors Brian Davison '91 Bob Ritter '92 Mike McGandy '91 Andrew Cohen '93 Mark Abrahamsen '93 Darren Millman '93 Production Manager Senior Copy Editor Operations Manager Computer Manager Ass't Computer Manager Typing Manager Mark Leister '91 David Murray '92 Chuck Parente '91 Michael Curtis '93 David Murray '92 Gail Magenau '92 Arts & Entertain. Editor Cynthia Levinson '93 Features Editor Jay Pauli '92 Opinions Editor Laura Haden '91 A n V C D T I C I M r  V, C A I  c c Photography Editor Graphic Artist Colin Bridgewater '92 Cynthia Levinson '93 Advertising Manager Advertising Production Mgr. Christine King '91 Chris Bowen '91 Adviser Katherine Warner Accountant Craig Christie '91"
EDITORIAL AND OPINIONS POLICY,"The editorials of The Bucknelllan reflect the consensus of the editorial board as to the topics and general position. If a consensus could not be reached, the opinions expressed are those of the Editor. All other opinion material represents the views of the author and not necessarily that of The Bucknelllan."
PUBLISHING POLICY,"The editorial content of The Bucknelllan does not necessarily reflect the opinions and attitudes of Bucknell University s administration, faculty, nor trustees. All content is determined by the paper's Editorial Board. The Bucknelllan is produced using ReadySetGol on Apple Macintosh computers."
ADVERTISING POLICY,"The editorial board of The Bucknelllan reserves the right to deny advertisements if offensive, illegal, or in bad taste. For advertising rates, please contact the advertising manager at (717) 524-1551."
LETTERS POLICY,"The Bucknelllan welcomes reader's comments on important campus, national, and international issues. Letters must be submitted by Tuesday to appear in Friday's issue. All letters must be typewritten, double spaced, and signed by the author. We reserve the right to edit letters for length or libel. We attempt to publish all responsible material, but we reserve the right not to publish due to spacing, technical, legal or other problems. Address letters to The Bucknelllan, Box C-3059, Lewisburg, PA 17837, or bring them to our office in the basement of the east wing of Roberts Hall."
SUBSCRIPTIONS POLICY,". areavaii abte at $30 per year; $20 per semester. To subscribe, send payment and address L6WiSbUrg' PA 17837' Subscriptions are mailed first-"
Town-Gown,"From page 1 Dunlop. Indeed, Dunlop is of the opinion that the whole tenor of town-student relations is largely improving. Dunlop cites the coop erative effort of town officials, local landlords, concerned students, and the University's administration as the cause of this positive devel opment and increased communica tion between parties representing the Borough and the University on the Town-Gown Committee. Student Rentals Traditionally, a segment of the student population has lived off campus in rental units on streets adjacent to the campus. Leases passed from student to student for years creating what amounts to a student neighborhood comprised of St. George, S l Catherine, South 7th, and South 6th streets. Accord ing to Gray, before even consider ing the behavior of student resi dents, there are certain patterns inherent in student rentals which detract from a residential area. Primarily there is what she calls a ""cycle of neglect"" Some landlords who rent to students do so for two reasons--higher rents can be asked since students are con sidered to be more affluent and less maintenance can be offered since students are less demanding than a family-oriented resident. Students themselves, according to Gray, not only ask less of their landlord in terms of maintenance, but often neglect to maintain their residence since they lack the experience of having to be responsible for a home. The result of this cycle is that there are neighborhoods in Lewis burg which have been poorly main tained and the landlord and future renters cannot be expected to improve the condition of the unit. The second negative aspect of student neighborhoods is that they are abandoned during school holidays and breaks. As busy and vibrant as the South 6th Street neighborhood may be during the fall and spring terms, it is desolate during the summer ~his sense of a transient population is largely not considered to be conducive to attracting families and other more permanent residents to these areas. Indeed, according to Gray, it is the goal of the Borough and par ticularly the Housing Authority of Union County to encourage a more stable residency base in Lewisburg. ""It would be nice to have more family-owned or owner- operator housing in Lewisburg,"" Gray said, ""but in moving towards that we may have already gone as far as we can go."" Having passed Borough ordinances stipulating that no more than three unrelated per sons can live in a residence and calling for stricter property codes, the Borough had hoped to limit the expansion of student rentals. While it is unclear how suc cessful these ordinances will be, it is the case that both this year and last year, student rentals were not only found in the South 6th Street neighborhood, but there were pock ets on Market, South Fifth, and South Fourth streets and on other blocks of St. Catherine Street. ""I don't know how you can achieve an influx of owner- operated housing in Lewisburg with an open market without get ting involved in homesteading and government financing,"" Gray said. The Housing Authority of Union County is looking at the possibility of public financing, according to Gray, but they are not at the stage of serious planning. Increased Conflict While these issues concern ing the demographics of residential neighborhoods in Lewisburg are of ongoing importance to town-gown relations, it is the more particular and immediate issues of parties, noise levels, and public drunken ness that aroused the protest of the Borough community. With refer ence to these complaints from the Borough community, according to Dunlop, unruly student behavior at, and traveling to and from parties in town is the direct cause. In-town parties at student ren tal and students patronizing the bar are both typical student behaviors that are to be expected by Borough residents, and yet the behavior involved in these activities evoke an unprecedented negative response. Considering letters and opinion articles that appeared in The Bucknellian during that period there appeared to be two new fac tors which may have exacerbated the already-existing the conflict between students and the local community. The first is that social life on campus began to change radically as fraternities began to strictly enforce University policies against under-twenty-one drinking and became less of a focal point for socializing and drinking. One, per haps predictable, result was that more students, including many freshmen, went off-campus to engage in those activities where they would not be strictly moni tored by campus security forces, including Residential Assistants and administrators from the office of Residential Life. In addition to an increase in off-campus parties and the number of people attending them, the increasingly spread out locations of student rentals brought students and their parties into contact with more local residents than before. The result of these two trends in student social life was that more Lewisburg residents were affected by students, often negatively, creat ing a larger and more vociferous body of complaint. The response of the Borough was to call on the Uni versity to control its students, accompanied by Chief of Police Bob Heiter's vows to arrest any unruly students in town. Student Neighbors Both Gray and Dunlop are of the opinion that these sorts of stu dent-resident conflicts are not indicative of students in general, but of a small minority of ""prob lem students. Unfortunately, according to Dunlop, the behavior of a few students gives a bad repu tation to the Bucknell student body as a whole. ''Misdeeds and stories of mis- deeds are like rabbits, they multi ply,"" Dunlop said suggesting that those misdeeds have been applied to more students than they should be. Gray concurred stating that the relationship between student renters and their neighbors who are more permanent residents cannot be assessed through generalities. ""It depends on the behavior of individ ual students in individual units,"" she said. Gray herself has had stu dent neighbors over the years and found many to be fine, while others were quite poor. What is necessary is commu nication between student renters and their neighbors. It is important, Gray said, for students and local residents to ""get to know each other as people before they know each other as problems."" According to Gray this responsibility lies with both the student and the local resident. Four-Year Residency Both Dunlop and Gray stated that, while tensions in town-gown From page 1 second floor of the Langone Cen ter, while space in the Scullery will be used to provide additional Bison seating. To supplement food service available in the Bison itself. Hank Ross, director of dining services, predicted that ""in the interim, we'll cook burgers and things on a gas grill on the grass outside"" the Lan gone Center. He also suggested ""putting a cart on the mall up by the library"" which will sell coffee, drinks, and pastries during the breakfast hours. Ross believes such stop-gap measures will be well received, relations may continue to exist, the Borough and the University are unified in their desire to ease the conflict and establish a basis for improved student-resident relations in the future. The new four-year residency requirement that accom panied a package of recommenda tions approved by the trustees relat ing to the Greek issue appears to be an effort on the part of the Univer sity to gain more control over what sort of student lives off campus and is in close contact with the Lewis burg community. The four-year residency requirement, originally proposed by President Gary Sojka in the spring, stipulates that the University can demand that a student live in cam pus housing throughout his or her time at Bucknell. Students, as a result, would have to request per mission from Residential Life to rent an apartment or house in Lewisburg. While Sojka has stated that this mechanism would be used sparingly to prevent ""problem"" stu- ""due to the fact that we have such an understanding student body."" He is enthusiastic, too, that ""a lot of stuff's happening in the Bison."" Food service available in the new Bison will be greatly expanded compared to the service formerly available. Ross said he plans to send out a proposed menu, ""so peo ple are aware of what to expect"" He anticipates take-out pizza and char-broiled foods, frozen yogurt and a salad bar. Additionally, he plans spe cialty events like Mexican night and seafood night On certain even ings, Ross plans a ""bistro kind of menu, with table service"" available. He also hopes to use glass and china utensils to replace the dispos- dents from living in town, it has also been suggested in discussions on campus that this policy might be a safety net for the University which may be facing declining enrollments along with other col leges and universities. Considering the possibility of empty dormitory beds, the Univer sity could use the four-year resi dency requirement to ensure that its residence halls are filled. At present, though, the policy is likely only to be used to restrain students who have been cited for extreme or chronic cases of misconduct. Insofar as the four-year resi dency requirement, to be instituted in the next academic year, Gray said that Borough officials are pleased with the step the University has taken. 'It will make it more of a reward to live off-campus,"" Gray stated, based on student behavior, academics, and attitude."" The new University policy, according to Gray, should act to ""filter out troublemakers."" able products previously utilized. Dorsey, also believes the new Bison ""should be worth waiting for. Along with the plans of dining services, Dorsey said that many programs are planned for the new space, including live entertainment on weekend nights and feature film showings during the week. Before the new space is completed. Uni versity social programming will be held in alternate locations such as the Terrace Room, the Langone Center Forum, and Larison Dining Hall. 8 Details on the project's progress are currently located on the walls enclosing the construction area."
Bison,i August 31 1990 T h o D l I a I/ A A lli/N rt
Interview,
A&S Dean Gerdes prepares,
in curriculum,
changes,"By Michael McGandy Staff Writer ""I think that one thing which is distinct about the position of dean is that the dean is the one that makes sure that the day-to-day issues are dealt with,"" said Dean of Arts and Sciences Eugenia Gerdes, who was appointed last spring. But while the office of the dean may concentrate on the day-to-day events of Bucknell, Gerdes has some plans that may significantly affect the University. Gerdes, who has been at Bucknell for fourteen years as a professor of psychology and two years as an administrator, expressed particular interest in reju venating an active concern for the quality of teaching on the part of the University. More importantly, though, Gerdes is already partici pating in an effort to revise the Uni versity's general education program. These ""day-to-day"" concerns such as faculty-student ratios, teaching loads, and residential col leges, Gerdes stated, ""if taken together do have a significant impact on the institution and make it necessary that we step back and examine our principles."" Two principles that Gerdes identified as central to the Bucknell education were quality teaching and critical thinking, and she is undertaking projects to support and augment both. ""It is very clear that we are interested in how our faculty teaches,"" Gerdes said. ""This is the place where the dean's office has to play a leading role."" Gerdes cited the ""mentor pro gram"" that was adopted recently by the faculty which would provide teaching assistance for the junior faculty teacher from a senior faculty member outside of his or her department. ""It is okay for a faculty mem ber to be looking for ways to improve their teaching,"" Gerdes said. ""It docs not amount to a per sonal weakness because we were not taught how to teach."" Gerdes said that most graduate programs do very little to develop the teach ing talents of its students who arc soon to become professors. The most important task of the teacher, according to Gerdes, is to develop their students' ability to think critically. Responding to a faculty that is disappointed in the level of critical thinking in the stu dent body, Gerdes has undertaken the task to coordinate a new general education program for the University. ""We are saying to the faculty,"" Gerdes commented, ""if you arc disappointed with the criti cal thinking of your students, help us develop those skills in students."" The initial outcome of this effort is a pilot program of Founda tion Seminars that is being offered this semester for the class of 1994. These courses are inter-disciplinary programs which will require that students approach the topics at hand from a number of perspec tives. Examples of topics are ""Zen and the Arts,"" ""Learning in an Information Age,"" and ""Darwin ism: The Lamp and its Shadow."" The class size is to be capped at around fifteen students, with the instructor serving as advisor to most of the students enrolled in the class Gerdes said that the effort arose out of the desire to institu-"
Sojka --,"tionally answer the question of what it means to be educated. ""We have to state more explicity that students have to see the world from a variety of perspectives,"" Gerdes said, ""not just the ones they came to Bucknell with."" According to Gerdes a key component of these Foundation Seminars will be addressing issues of race, class, and gender which can often become secondary issues amongst Buck- nell's relatively homogeneous stu dent body. Explicitly addressing such issues is part of a larger national trend within universities respond ing both to recognized absences in their curriculum and an attempt to use education to combat the ignor ance that leads to violence against minority populations on campus. Gerdes said that, while the situation at Bucknell is much less severe than at other institutions, ""there is an overt sense among some students of 'I'm in the major ity--my views are right and the others are wrong.'"" Jimmy King/File Photo Dean Eugenia Gerdes ""The issues are there,"" Gerdes stated, ""and although Buck nell is relatively homogeneous the world is not that way."" Beyond this initial year, Gerdes said that there are tentative plans to develop a program based on the principles of the Foundation Seminars for a larger general edu cation program that would replace the present system of distribution requirements. This general outline of the Foundation Seminars resembles that of the Freshman Advisory Seminars and Gerdes noted that ""the Foundation Seminars may not be too far from their original pur pose."" Gerdes said that the Univer sity had not provided enough insti tutional support for the"
FAS,"program and, as a result, it has not fulfilled the hopes that people origi nally had for it. A memorandum from the General Education Committee, of which Gerdes is a member, detail ing the objectives and initial stages of planning for the Foundation Seminars was mailed to faculty in March and has met with a response that Gerdes called ""mixed."" Gerdes did say that people who were involved with FAS or the residen tial colleges seemed to be more favorably inclined toward the program. Questions have been raised as to whether the program would be more historically oriented or more concerned with current affairs and crises--both approaches have a body of adherents. There is also the criticism that the approach sup ported by Gerdes strays too far from a ""great-books"" conception of general education. Gerdes says that she has already been told by critics that this plan for creating a general educa tion program on the plan of the Foundation Seminars would repre sent anything but general education. Looking ahead, as a plan for the development of the larger gen eral education plan out of this pilot project, Gerdes expressed what she called ""a very tentative plan"" for a system based on clusters of courses. ""Instead of taking four humanities but the University not taking an interest in which four the student takes, there wold be a theme."" The goal of such a cluster program would be, according to Gerdes, ""not to go on in a particular field, but to think and deal with the world."" ""Right now, with our general education requirement, we do not ask that there be any coherence in the student's program,"" Gerdes said. On more general issues con cerning her new office Gerdes said that she understood the position of the dean to be, primarily, the level of administration that is directly in contact with faculty and students and responsible for mediating the concerns of these groups. As a mediator and mutual representative of the interests of the administration, the faculty, and the students it is sometimes difficult to see how the dean can be an autono mous position. Part of being dean, according to Gerdes, is ""keeping things in line with the thinking of the people in the higher levels of administration. The dean's deci sions have to fit into that context."" Yet there is more to the posi tion than mediation. ""There is a delicate balance,"" Gerdes added, ""in having to be part of a total administrative picture and dealing actively with issues. I must be able to understand the issues from those three perspective [administration, faculty, and student] and be seen as having some integrity of my own."" Gerdes said that her long experience at Bucknell as both a faculty member and an administra tor have given her the ability to understand the differing perspec tives on the issues that concern the University. Asked about recent tensions between the faculty and the admin istration surrounding issues of teaching, scholarship, and recent decisions by the University Review Committee, Gerdes said, ""I per ceive the situation as somewhat better than it was a couple of years ago."" ""It might just be a fact of life,"" Gerdes said with reference to the distance that lies between the faculty and administration. ""When there arc different roles there tends to be some reservation about peo ple in roles other than your own."" ""Differences between people can be extreme or they can be mini mal, but they cannot be completely removed,"" Gerdes stated. She went on to say that the problems facing Bucknell were actually part of larger national trends in higher education. From page 1 faculty meeting. Jenks argued that the Greek system is sexist, elitist, racist, and anti-intellectual. The motion was tabled until the faculty received the report from the Greek Review Comittee (GRC), formed because of incidentswhich occurred during 1988-89. The report con cluded that Bucknell's Greek sys tem should be retained with minor changes. But the faculty disagreed with the report, and they over whelmingly approved Jenks' motion. After a long review pro cess, in which Sojka had to weigh the views of the student body, the faculty, and the approximately 800 alumni who wrote to him, Sojka delivered his recommendations to the Board of Trustees on May 1. His proposals elicited a backlash from the faculty because they did not feel that the measures taken properly dealt with the charges of sexism, elitism, racism, and anti- intellectualism. They then circu lated a petition condemning elitist organizations on campus. However, this protest did not significantly affect the Trustees' decision. Sojka's recommendations were reviewed by a special comittee of five trustees. This committee approved all of Sojka's recommen dations, except one which would have required a minimum GPA of 2.5 to rush, as opposed to the 2.0 minimum for participation in all other campus groups. Finally, the Board of Trustees adopted all of the committee's recommendations except the 2.5 GPA. Peter Ho/Flle Photo A portrait of Elaine Langone is unveiled during the May dedication ceremony, as Langone (center, with husband) looks on."
Facelift-,"From page 1 was unrelated to the changing of the name affixed to the Center. As far as the new name of the Center gaining currency amongst the University community, Asso ciate Vice President for Student Life Charlotte Jacobsen Weddle said that the process would undoubtedly take time. In speaking with upperclassmen, Jacobsen Weddle found many who state that, to them, the building would always be the University Center. Others have taken to calling the building the L.C., and some have begun to refer to the Elaine Langone Center as the E.L.C. (pronounced elk). Stating that ""the student ver nacular comes from its own ori gins,"" Jacobsen Weddle believes that students will eventually arrive at a term which will satisfy their tastes and eventually gain wide spread usage. What is important, according to Jacobsen Weddle, is that the Center continues to serve as the center of the University. Jacobsen Weddle referred to the Center as being ""the living room of the Uni versity"" where students, faculty, administrators, and staff meet on an"
Plans --,"From page 1 At the same time, the campus space committee is beginning its evalua tion to determine the future use of Taylor Hall, the Botany Building and the Old Bison, all of which will be vacated when the new science complex is completed. One propo sal suggests relocating the person nel department and the career development center to the Botany building. Maxwell expects that the most likely use includes a combina tion of administrative staff offices and classroom space. He did clearly state that there is no truth to the long-standing rumor that Taylor Hall will become an ""executive egalitarian basis over meals and at meetings. Part of the Family Both Elaine and Kenneth Langone, who were the focus of the May rededication ceremony for the Center, recognize Bucknell as being highly significant in their lives. As an alumnus Mr. Langone remained closely associated with the University and was elected to the board of trustees and named chair of national giving in 1981. Mrs. Langone, according to her friends and family, shared her hus band's dedication to Bucknell. Married in 1956, the Langones lived in an apartment on Market Street during Mr. Langone's senior year at Bucknell. ""Bucknell University has been a par of our family,"" Mrs. Langone said in May as she acknowledged the gesture Mr. Lan gone and the University made in renaming the Center in her honor. Beyond offering the Univer sity an opportunity to name this central building something more colorful than the ""University Cen ter,"" the rcdcdication is important relative to the University's endow ment According to University pol icy, at least fifty percent of the orig- building"" housing the top adminis trators and academic deans. The new campus landscape master plan is also expected early this semester, according to Max well. Included in the report will be recommendations for on-hill park ing and green space. Included in the report will be recommendations for the Olin-Dana quad. Plans to remove the road between the build ings and landscape the area have been discussed. While the master plan will not specifically address the issue of dwindling open space as a campus-wide issue, Maxwell said, ""[The Univeristy community] is concerned about the loss of green space, and we share that concern."""
Underpass--,"From page 1 very fortunate to this point [that there have been no accidents],"" Naugle said in a May interview with The Bucknellian. University administration, students, and the engineering firm constructing the underpass have all expressed concern about the safety of persons using the underpass. As specified in a February memoran dum, Barry Maxwell, vice presi dent for administration, explained that several measures are being taken to insure the safety of stu dents. These safety measures include 24-hour video security monitoring and ""push-to-talk""-type microphones that will provide direct contact with Bucknell Secur ity. It is the opinion of those involved in the project that this combination of security measures will provide students with a signifi cantly safer means of access to and from Bucknell West. The construction of the underpass, though hindered by inclement weather during the sum mer, is on budget and only two weeks behind schedule, according to Naugle. He said, ""all that's left is the finish work"" and that should be completed in about two weeks."
R6sum& Unlimited,rs-fcD l.BOX JB9A4 Wotsontow>>. PA 17777 (7171 838-9607 R6>>uxn6 Service |
(Reasonable Rates A,
|  Fhst Servtee) <,
\,
*,
ftAtf<< titttVll>>*,Hours: M-F6-& PM Sat 9-noon Pick-up/Drop-ofr available
Call for more Info,
Last Chance,
For Your,
Best Chance.,LSAT Prep Course
<<STANLEY H. KAPLAN,"dBTake Kaplan Or Take Your Chances LSAT Classes for Bucknell University begin Sept. 6 in Lewisburg For registration information please contact: Stanley Kaplan Offices at (814) 238-1423 or Kevin Maclay at Box C-2470 Late registrations accepted. For other locations call 800-KAP-TEST inal cost of a building must be donated to the University in order that a building may be dedicated to an individual. Barry Maxwell, vice president of administration, put the cost of the original construction of the Center somewhere between S4 and $6 million. After the dedication Maxwell said that the majority of the donation would be funnelled into University accounts marked for undesignated and unrestricted use. Other portions of Mr. Lan gone's donation were placed into the Weis Center for the Performing Arts, the University's endowment, and facility funds. Colin Brldgewater/File Photo Workers erect a sign on the Elaine Langone Center during the dedication ceremonies in May. United States Department of State"
CAREER,
OPPORTUNITY,
INFORMATION SESSION,
FOREIGN SEVICE,
IN THE 90's and the,
Foreign Service Exam,
"Wednesday, September 12",
GALLERY THEATRE,
LANGONE CENTER,
Speaker:,
Dr. Teresa Jones,
Career Foreign,
Service officer,
UNA Chapman Cox,
Fellow,
TWO SESSIONS:,
3:00pm - 4:00pm,
4:00pm - 5:00pm,
Info. - Placement,
"Center, 524-1238",An Equal Opportunity Employer
LEWISBURG SUB SHOP,
316 Market Street,
524-4750,
SUBS,
PIZZA,
